alien_id,name,species,region,arrival_date,age_centuries,antenna_count,crystal_energy_index,bioluminescence_level,glow_duration_minutes,telepathy_score,hover_height_cm,occupation
A0001,Myrzuionis,Crystalian,Lava Basin,2025-03-25,7.7,2,62.8,Medium,111.3,47.3,25.4,Crystal Miner
A0002,Celeth,Aquari,Ice Plains,2025-03-29,6.3,9,50.7,Low,78.5,65.4,131.0,Explorer
A0003,Vexvekorix,Nebulon,Floating Islands,2025-09-20,7.1,7,60.7,High,124.9,85.1,120.2,Farmer
A0004,Zephnoruun,Nebulon,Northern Crater,2024-08-08,9.0,9,61.9,High,118.4,90.4,82.7,Merchant
A0005,Varor,Luminar,Floating Islands,2024-06-02,6.9,8,51.1,Medium,108.9,55.4,130.2,Merchant
A0006,Zenius,Luminar,Crystal Forest,2025-10-26,5.7,6,87.9,Medium,147.9,54.1,98.4,Explorer
A0007,Ophvekax,Luminar,Northern Crater,2024-01-12,8.3,8,75.0,Low,83.3,77.6,73.9,Explorer
A0008,Myrek,Gravitar,Ice Plains,2024-05-12,8.5,5,37.7,Medium,83.1,53.8,14.4,Merchant
A0009,Noxek,Nebulon,Northern Crater,2024-10-30,8.5,14,49.8,High,122.0,100.0,55.3,Research Scientist
A0010,Praxzorul,Nebulon,Northern Crater,2024-10-19,4.0,12,57.0,Low,74.9,86.2,89.1,Planetary Guardian
A0011,Vyrkaara,Luminar,Floating Islands,2024-10-26,2.3,7,65.2,Medium,135.6,55.1,119.9,Research Scientist
A0012,Zoriona,Aquari,Ice Plains,2024-02-12,3.9,4,57.4,High,116.1,37.7,96.4,Farmer
A0013,Celzorius,Gravitar,Northern Crater,2024-12-08,6.4,5,49.4,Medium,86.6,42.8,18.1,Farmer
A0014,Crydraeen,Luminar,Ice Plains,2024-11-21,5.3,5,62.2,Low,98.6,49.6,92.2,Crystal Miner
A0015,Nebzulor,Luminar,Crystal Forest,2025-05-12,4.6,5,66.3,High,139.0,36.4,86.9,Merchant
A0016,Fynionis,Luminar,Crystal Forest,2024-12-29,6.1,8,67.5,Medium,93.7,52.9,72.4,Farmer
A0017,Lyrphiius,Crystalian,Crystal Forest,2025-03-02,2.1,7,62.8,Medium,110.7,53.3,14.4,Crystal Miner
A0018,Celraul,Nebulon,Northern Crater,2024-01-21,5.3,14,69.4,High,135.9,98.9,81.1,Explorer
A0019,Korvdraeon,Crystalian,Northern Crater,2025-02-10,7.2,8,75.2,High,163.1,71.5,41.3,Farmer
