enrollment_id,student_id,course_id,semester
1,S001,CIS230,Fall 2026
2,S001,MTH215,Fall 2026
3,S001,EN101,Fall 2026
4,S002,CIS116,Fall 2026
5,S002,CIS123,Fall 2026
6,S002,EN101,Fall 2026
7,S003,CIS230,Fall 2026
8,S003,MTH215,Fall 2026
9,S003,COM131,Fall 2026
10,S004,CIS171,Fall 2026
11,S004,CIS112,Fall 2026
12,S004,EN101,Fall 2026
13,S005,CIS112,Fall 2026
14,S005,CIS171,Fall 2026
15,S005,MTH112,Fall 2026
16,S006,CIS241,Fall 2026
17,S006,EN101,Fall 2026
18,S006,COM131,Fall 2026
19,S007,CIS210,Fall 2026
20,S007,MTH215,Fall 2026
21,S007,CIS123,Fall 2026
22,S008,CIS230,Fall 2026
23,S008,MTH215,Fall 2026
24,S008,EC251,Fall 2026
25,S009,CIS123,Fall 2026
26,S009,CIS223,Fall 2026
27,S009,EN102,Fall 2026
28,S010,CIS210,Fall 2026
29,S010,CIS123,Fall 2026
30,S010,MTH215,Fall 2026
31,S011,CIS210,Fall 2026
32,S011,CIS230,Fall 2026
33,S011,EN101,Fall 2026
34,S012,CIS241,Fall 2026
35,S012,EN102,Fall 2026
36,S012,PH125,Fall 2026
37,S013,CIS210,Fall 2026
38,S013,MTH215,Fall 2026
39,S013,PY201,Fall 2026
40,S014,CIS112,Fall 2026
41,S014,CIS171,Fall 2026
42,S014,CHI101,Fall 2026
43,S015,CIS210,Fall 2026
44,S015,CIS230,Fall 2026
45,S015,MTH215,Fall 2026
46,S016,CIS171,Fall 2026
47,S016,CIS112,Fall 2026
48,S016,PH125,Fall 2026
49,S017,CIS112,Fall 2026
50,S017,CIS241,Fall 2026
51,S017,EC251,Fall 2026
52,S018,CIS230,Fall 2026
53,S018,MTH215,Fall 2026
54,S018,BI153,Fall 2026
55,S019,CIS171,Fall 2026
56,S019,CIS112,Fall 2026
57,S019,BI117,Fall 2026
