order_id,customer_id,product_id,order_date,quantity
O001,C001,P002,2026-02-03,1
O002,C001,P003,2026-02-03,2
O003,C002,P001,2026-02-04,1
O004,C003,P007,2026-02-05,1
O005,C003,P008,2026-02-05,1
O006,C004,P005,2026-02-07,3
O007,C005,P010,2026-02-08,1
O008,C005,P004,2026-02-08,1
O009,C006,P012,2026-02-10,4
O010,C007,P011,2026-02-11,1
O011,C007,P006,2026-02-11,1
O012,C008,P009,2026-02-12,1
O013,C009,P003,2026-02-13,1
O014,C010,P013,2026-02-14,1
O015,C010,P001,2026-02-14,2
O016,C002,P005,2026-02-15,2
O017,C004,P008,2026-02-16,1
O018,C006,P003,2026-02-17,3
O019,C008,P002,2026-02-18,1
O020,C009,P012,2026-02-19,2
