product_id,product_name,category,price
P001,Wireless Mouse,Electronics,24.99
P002,Mechanical Keyboard,Electronics,79.99
P003,USB-C Cable,Electronics,12.99
P004,Laptop Stand,Office Supplies,34.99
P005,Notebook Pack,Office Supplies,9.99
P006,Desk Lamp,Home Office,29.99
P007,Noise-Canceling Headphones,Electronics,149.99
P008,Water Bottle,Accessories,18.99
P009,Backpack,Accessories,49.99
P010,Monitor,Electronics,199.99
P011,Office Chair,Home Office,129.99
P012,Sticky Notes,Office Supplies,4.99
P013,Webcam,Electronics,59.99
P014,Standing Desk Mat,Home Office,39.99
P015,Tablet Sleeve,Accessories,22.99
